aff_internal_id,aff_scopus_id,dc:identifiers
5,60006380,SCOPUS_ID:85058795894
5,60006380,SCOPUS_ID:85059237066
5,60006380,SCOPUS_ID:85058913523
5,60006380,SCOPUS_ID:85057718506
5,60006380,SCOPUS_ID:85056099515
5,60006380,SCOPUS_ID:85055896936
5,60006380,SCOPUS_ID:85055447018
5,60006380,SCOPUS_ID:85055077988
5,60006380,SCOPUS_ID:85051636549
5,60006380,SCOPUS_ID:85045133544
5,60006380,SCOPUS_ID:85044135033
5,60006380,SCOPUS_ID:85042526333
5,60006380,SCOPUS_ID:85053601027
5,60006380,SCOPUS_ID:85052695125
5,60006380,SCOPUS_ID:85050936677
5,60006380,SCOPUS_ID:85050732675
5,60006380,SCOPUS_ID:85042923931
5,60006380,SCOPUS_ID:85042310605
5,60006380,SCOPUS_ID:85063245261
5,60006380,SCOPUS_ID:85073500452
5,60006380,SCOPUS_ID:85058239596
5,60006380,SCOPUS_ID:85055634346
5,60006380,SCOPUS_ID:85049915216
5,60006380,SCOPUS_ID:85054848313
5,60006380,SCOPUS_ID:85054057749
5,60006380,SCOPUS_ID:85053725484
5,60006380,SCOPUS_ID:85053186691
5,60006380,SCOPUS_ID:85054806014
5,60006380,SCOPUS_ID:85054644686
5,60006380,SCOPUS_ID:85054416261
5,60006380,SCOPUS_ID:85050369369
5,60006380,SCOPUS_ID:85052745516
5,60006380,SCOPUS_ID:85053725423
5,60006380,SCOPUS_ID:85053635450
5,60006380,SCOPUS_ID:85050390747
5,60006380,SCOPUS_ID:85054595719
5,60006380,SCOPUS_ID:85054935913
5,60006380,SCOPUS_ID:85049923895
5,60006380,SCOPUS_ID:85050262256
5,60006380,SCOPUS_ID:85050311996
5,60006380,SCOPUS_ID:85054833667
5,60006380,SCOPUS_ID:85050968255
5,60006380,SCOPUS_ID:85052130569
5,60006380,SCOPUS_ID:85049750387
5,60006380,SCOPUS_ID:85049514988
5,60006380,SCOPUS_ID:85048473649
5,60006380,SCOPUS_ID:85047055644
5,60006380,SCOPUS_ID:85046427287
5,60006380,SCOPUS_ID:85048852789
5,60006380,SCOPUS_ID:85046821046
5,60006380,SCOPUS_ID:85048125071
5,60006380,SCOPUS_ID:85047837474
5,60006380,SCOPUS_ID:85044021901
5,60006380,SCOPUS_ID:85042097117
5,60006380,SCOPUS_ID:85046664827
5,60006380,SCOPUS_ID:85047165056
5,60006380,SCOPUS_ID:85041206752
5,60006380,SCOPUS_ID:85046129340
5,60006380,SCOPUS_ID:85048827557
5,60006380,SCOPUS_ID:85048779850
5,60006380,SCOPUS_ID:85040728062
5,60006380,SCOPUS_ID:85017513374
5,60006380,SCOPUS_ID:85066866528
5,60006380,SCOPUS_ID:85045540242
5,60006380,SCOPUS_ID:85046897414
5,60006380,SCOPUS_ID:85044919500
5,60006380,SCOPUS_ID:85041672055
5,60006380,SCOPUS_ID:85040866070
5,60006380,SCOPUS_ID:85020086260
5,60006380,SCOPUS_ID:85045657403
5,60006380,SCOPUS_ID:85043449773
5,60006380,SCOPUS_ID:85034852415
5,60006380,SCOPUS_ID:85020059762
5,60006380,SCOPUS_ID:85035756240
5,60006380,SCOPUS_ID:85033491530
5,60006380,SCOPUS_ID:85019615634
5,60006380,SCOPUS_ID:85075846231
5,60006380,SCOPUS_ID:85041012693
5,60006380,SCOPUS_ID:85051435327
5,60006380,SCOPUS_ID:85043495828
5,60006380,SCOPUS_ID:85042589214
